SAMPLE_ALIAS	SET	BAM_START_DATE	BAM_END_DATE	PRO_REF_BASES_GT	PRO_ALT_BASES_GT	CON_REF_BASES_GT	CON_ALT_BASES_GT	ERROR_RATE_GT	ARTQSCORE_GT	PICARD_GIV_GT	GIV_GT_DEFAULT	GIV_GT_QUALITYSCORE20	PRO_REF_BASES_CT	PRO_ALT_BASES_CT	CON_REF_BASES_CT	CON_ALT_BASES_CT	ERROR_RATE_CT	ARTQSCORE_CT	PICARD_GIV_CT	GIV_CT_DEFAULT	GIV_CT_QUALITYSCORE20	PRO_REF_BASES_TA	PRO_ALT_BASES_TA	CON_REF_BASES_TA	CON_ALT_BASES_TA	ERROR_RATE_TA	ARTQSCORE_TA	PICARD_GIV_TA	GIV_TA_DEFAULT	GIV_TA_QUALITYSCORE20	PRO_REF_BASES_GC	PRO_ALT_BASES_GC	CON_REF_BASES_GC	CON_ALT_BASES_GC	ERROR_RATE_GC	ARTQSCORE_GC	PICARD_GIV_GC	GIV_GC_DEFAULT	GIV_GC_QUALITYSCORE20	PRO_REF_BASES_AC	PRO_ALT_BASES_AC	CON_REF_BASES_AC	CON_ALT_BASES_AC	ERROR_RATE_AC	ARTQSCORE_AC	PICARD_GIV_AC	GIV_AC_DEFAULT	GIV_AC_QUALITYSCORE20	PRO_REF_BASES_TC	PRO_ALT_BASES_TC	CON_REF_BASES_TC	CON_ALT_BASES_TC	ERROR_RATE_TC	ARTQSCORE_TC	PICARD_GIV_TC	GIV_TC_DEFAULT	GIV_TC_QUALITYSCORE20
TCGA-AB-2802-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1215810072	1279366	1178510998	256805	4.268038e-04	33.697717	4.824998	4.173521	4.606440	1178510998	279936	1215810072	273927	2.509108e-06	56.004806	1.054267	1.031322	1.057623	1552824663	205511	1577344325	122377	2.655617e-05	45.758346	1.705751	1.171387	1.182652	1215810072	106659	1178510998	105390	5.299572e-07	62.757592	0.980995	1.009855	1.017161	1577344325	139385	1552824663	193453	-1.727135e-05	47.626737	0.709336	0.939819	0.873087	1552824663	258568	1577344325	297730	-1.250892e-05	49.027801	0.882198	1.025675	0.966570
TCGA-AB-2803-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1227337850	1179507	1192410243	244803	3.860543e-04	34.133516	4.677538	3.865644	4.197503	1192410243	287946	1227337850	275301	5.224534e-06	52.819524	1.076550	1.043007	1.048673	1548883517	199247	1568965683	132863	2.128933e-05	46.718379	1.519019	1.134170	1.158459	1227337850	110478	1192410243	117812	-3.030608e-06	55.184702	0.911070	0.976021	0.996618	1568965683	153383	1548883517	201212	-1.533864e-05	48.142132	0.752563	0.944748	0.905474	1548883517	274203	1568965683	319368	-1.448319e-05	48.391358	0.869735	1.001806	0.958758
TCGA-AB-2804-03B-01W-0728-08	LAML	16Jul2010	16Jul2010	907237813	263332	894802368	126495	7.591807e-05	41.196549	2.052918	1.744053	1.762381	894802368	200648	907237813	217335	-9.257913e-06	50.334869	0.936065	1.032033	0.989508	1030698861	302955	1030299344	96361	1.002204e-04	39.990440	3.142110	1.398972	2.742492	907237813	58825	894802368	58220	3.357088e-07	64.740373	0.996542	0.954106	0.982442	1030299344	78138	1030698861	85771	-3.703251e-06	54.314169	0.911367	0.962035	0.954711	1030698861	179353	1030299344	197412	-8.760657e-06	50.574633	0.908185	0.921771	0.963190
TCGA-AB-2805-03B-01W-0728-08	LAML	16Jul2010	16Jul2010	817501743	231849	803306791	118794	6.973714e-05	41.565359	1.917540	1.731212	1.695356	803306791	187761	817501743	195908	-5.025314e-06	52.988368	0.975356	1.060794	1.006156	878128317	277886	878873953	92585	1.054421e-04	39.769861	3.003330	1.475055	2.967023	817501743	59198	803306791	57556	1.013002e-06	59.943898	1.010669	0.934845	0.983013	878873953	81709	878128317	88124	-3.650752e-06	54.376176	0.926425	0.936614	0.939339	878128317	163637	878873953	183805	-1.147637e-05	49.401954	0.891051	0.915320	0.951737
TCGA-AB-2807-03B-01W-0728-08	LAML	12Mar2010	16Jul2010	883464349	450221	867039025	178801	1.549968e-04	38.096771	2.470437	2.495033	2.336773	867039025	273066	883464349	259108	7.971283e-06	50.984718	1.073811	1.098196	1.045148	968568125	243062	978753781	137160	5.437279e-05	42.646184	1.790543	1.218092	1.992820	883464349	91280	867039025	78477	7.313187e-06	51.358933	1.141504	0.952277	0.995490	978753781	104081	968568125	109443	-2.753223e-06	55.601586	0.941116	0.970781	0.939780	968568125	206363	978753781	213293	-3.557967e-06	54.487981	0.977689	0.942981	0.975046
TCGA-AB-2808-03B-01W-0728-08	LAML	15Mar2010	16Jul2010	419686869	331831	414915823	92194	2.869812e-04	35.421465	3.556331	3.494898	3.343729	414915823	137824	419686869	138753	-1.112736e-06	59.536080	1.004725	1.085277	1.015892	519671019	110268	518929153	76325	3.267562e-05	44.857762	1.442560	1.161286	1.423332	419686869	38873	414915823	37445	1.710837e-06	57.667913	1.026332	0.959061	1.014090	518929153	45901	519671019	50328	-4.262073e-06	53.703791	0.913349	0.946571	0.971853	519671019	105987	518929153	110656	-4.494536e-06	53.473151	0.956448	0.950073	0.977207
TCGA-AB-2810-03B-01W-0728-08	LAML	15Mar2010	15Mar2010	1079418206	1072153	1058225817	558320	2.401903e-04	36.194445	1.881742		1.772361	1058225817	1376881	1079418206	1591326	-1.001793e-04	39.992221	0.882722		0.915430	1299658597	1441539	1315890014	1517533	-2.902187e-05	45.372745	0.961829		0.958353	1079418206	468796	1058225817	343939	5.838650e-05	42.336876	1.336114		1.183109	1315890014	172579	1299658597	175081	-9.564599e-07	60.193332	0.973554		0.953456	1299658597	1447457	1315890014	1114243	1.272727e-04	38.952647	1.314923		1.151171
TCGA-AB-2811-03B-01W-0728-08	LAML	14Oct2010	14Oct2010	1194498567	1517830	1163824944	236350	5.429821e-04	32.652145	6.250377	4.348007	5.495464	1163824944	278954	1194498567	262707	6.887634e-06	51.619299	1.089809	1.003430	1.056589	1537143706	203699	1567329716	124456	2.552273e-05	45.930729	1.668768	1.204556	1.182807	1194498567	101597	1163824944	91141	4.433296e-06	53.532733	1.086091	1.029982	1.042433	1567329716	115910	1537143706	129955	-4.523758e-06	53.445006	0.874755	0.933246	0.968007	1537143706	247120	1567329716	283936	-1.185699e-05	49.260256	0.887447	1.048281	0.967289
TCGA-AB-2812-03B-01W-0728-08	LAML	12Mar2010	03Aug2010	950579227	814218	934488583	225659	3.120495e-04	35.057765	3.544923	3.128491	2.902287	934488583	419902	950579227	424649	-2.517084e-06	55.991023	1.005845	1.070373	1.003762	1030062840	371024	1039388083	295224	3.661628e-05	44.363257	1.268035	1.272821	1.348964	950579227	129083	934488583	115304	7.308604e-06	51.361656	1.100538	0.958973	1.049964	1039388083	105457	1030062840	108584	-1.510873e-06	58.207722	0.962492	0.954084	0.981517	1030062840	350359	1039388083	321334	1.402091e-05	48.532238	1.100163	0.975107	1.030157
TCGA-AB-2813-03B-01W-0728-08	LAML	12Mar2010	16Mar2010	991121893	620467	970013538	216960	2.056639e-04	36.868419	2.797790	2.831248	2.645100	970013538	304843	991121893	256427	2.468068e-05	46.076430	1.214612	1.121983	1.107689	1201273256	191086	1214918958	145202	1.898757e-05	47.215307	1.330897	1.205775	1.317663	991121893	73695	970013538	92006	-9.336149e-06	50.298322	0.783938	0.933838	0.888219	1214918958	85462	1201273256	133279	-1.978844e-05	47.035885	0.634050	0.946863	0.787688	1201273256	224413	1214918958	265951	-1.718802e-05	47.647740	0.853426	0.958258	0.942264
TCGA-AB-2815-03B-01W-0728-08	LAML	12Mar2010	12Mar2010	1062993181	700682	1044625007	220399	2.277800e-04	36.424845	3.122818	3.124754	3.003240	1044625007	414189	1062993181	332763	3.862045e-05	44.131827	1.266477	1.141492	1.140468	1263869392	245278	1275825780	195411	1.963163e-05	47.070437	1.267013	1.188265	1.299208	1062993181	102485	1044625007	110865	-3.975650e-06	54.005919	0.908448	0.964530	0.938400	1275825780	139983	1263869392	154758	-5.816952e-06	52.353045	0.896063	0.973809	0.915312	1263869392	268990	1275825780	307050	-1.498265e-05	48.244113	0.884358	0.947637	0.959986
TCGA-AB-2816-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1263829587	1260916	1224000448	261743	4.013786e-04	33.964457	4.661910	4.104087	4.502591	1224000448	294153	1263829587	285314	3.552068e-06	54.495187	1.064513	1.045457	1.067325	1583847656	205568	1611051234	124885	2.525108e-05	45.977200	1.674243	1.129857	1.168092	1263829587	124157	1224000448	131289	-2.866461e-06	55.426540	0.915883	0.996804	1.002777	1611051234	158363	1583847656	206918	-1.519593e-05	48.182728	0.752443	0.945188	0.886961	1583847656	279054	1611051234	327014	-1.500858e-05	48.236603	0.868020	1.012039	0.960029
TCGA-AB-2817-03B-01W-0728-08	LAML	12Mar2010	12Mar2010	1083885690	636846	1063071390	175797	2.146641e-04	36.682406	3.551556	3.078554	3.085276	1063071390	344674	1083885690	272002	3.383912e-05	44.705810	1.291890	1.122532	1.123529	1292220433	188740	1302497891	145743	1.656883e-05	47.807080	1.305274	1.230269	1.303262	1083885690	92118	1063071390	89346	1.291021e-06	58.890668	1.011225	0.947029	0.941358	1302497891	94595	1292220433	87401	2.772361e-06	55.571502	1.073765	0.970413	0.982178	1292220433	262968	1302497891	280100	-6.601262e-06	51.803730	0.946314	0.943261	0.960462
TCGA-AB-2818-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1241241702	1459820	1202480185	353743	4.522842e-04	33.445886	3.994388	3.920027	4.248938	1202480185	351845	1241241702	356439	-1.879375e-06	57.259866	1.018925	1.014234	1.051459	1557243283	278147	1581571289	178104	3.186823e-05	44.966421	1.586004	1.188023	1.218849	1241241702	206203	1202480185	205861	1.399269e-07	68.540989	0.970386	0.992067	0.949665	1581571289	510571	1557243283	280726	7.320823e-05	41.354401	1.790521	0.953211	1.190449	1557243283	349535	1581571289	361980	-3.963974e-06	54.018692	0.980709	1.045878	0.968068
TCGA-AB-2819-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1226061460	1086398	1189950530	268077	3.385176e-04	34.704188	3.930604	3.738018	3.962807	1189950530	284410	1226061460	285758	-5.578126e-07	62.535117	1.025480	1.043020	1.054515	1542918180	218209	1569141627	130598	2.814894e-05	45.505380	1.699144	1.130943	1.174212	1226061460	110304	1189950530	118952	-3.579113e-06	54.462246	0.899996	0.986952	0.991541	1569141627	147102	1542918180	222472	-2.421581e-05	46.159010	0.650198	0.939596	0.828367	1542918180	268036	1569141627	314245	-1.484559e-05	48.284026	0.867472	1.011353	0.969830
TCGA-AB-2820-03B-01W-0728-08	LAML	12Mar2010	03Aug2010	981500881	435524	962241885	171134	1.359786e-04	38.665293	2.494330	2.118076	1.958599	962241885	271296	981500881	243167	1.446774e-05	48.395994	1.137969	1.061947	1.030258	1065444354	244724	1072990597	129086	5.406654e-05	42.670714	1.909040	1.238619	2.235026	981500881	98855	962241885	90197	4.453860e-06	53.512634	1.074477	0.953753	0.983856	1072990597	125789	1065444354	103399	1.046915e-05	49.800885	1.207960	0.985479	1.040614	1065444354	215164	1072990597	216945	-8.326838e-07	60.795199	0.998815	0.956433	0.970267
TCGA-AB-2821-03B-01W-0728-08	LAML	12Mar2010	12Mar2010	1092540626	1174691	1073442819	241538	4.305403e-04	33.659861	4.774309	4.678182	4.547635	1073442819	420352	1092540626	299331	5.585491e-05	42.529387	1.429121	1.215027	1.201665	1270509482	200515	1285784149	155987	1.741654e-05	47.590381	1.300867	1.163832	1.411084	1092540626	63635	1073442819	67296	-1.690123e-06	57.720817	0.929073	0.961388	0.947588	1285784149	58970	1270509482	66964	-3.127030e-06	55.048680	0.870167	0.971071	0.921211	1270509482	201165	1285784149	226622	-9.956892e-06	50.018762	0.898356	0.961091	0.972538
TCGA-AB-2823-03B-01W-0728-08	LAML	03Aug2010	03Aug2010	935159814	241595	920718175	113203	6.916805e-05	41.600945	2.100932	1.767917	1.640909	920718175	188669	935159814	193395	-2.545979e-06	55.941451	0.990867	1.048333	0.993078	1022158217	360223	1028298136	83411	1.349710e-04	38.697596	4.343414	1.281749	3.847935	935159814	55844	920718175	52680	1.704754e-06	57.683383	1.043688	0.975542	1.012496	1028298136	73804	1022158217	66204	3.706239e-06	54.310666	1.108133	1.000185	1.036879	1022158217	163435	1028298136	170043	-3.222173e-06	54.918511	0.966918	0.924508	0.995161
TCGA-AB-2824-03B-01W-0728-08	LAML	03Aug2010	03Aug2010	957381268	240965	940935497	117980	6.477409e-05	41.885986	2.007085	1.730701	1.592727	940935497	183339	957381268	193399	-5.298380e-06	52.758569	0.964559	1.038891	0.991636	1006848110	288147	1010774720	78788	1.037463e-04	39.840273	3.670743	1.356131	3.194579	957381268	56192	940935497	52991	1.686134e-06	57.731080	1.042188	0.964859	1.013063	1010774720	77419	1006848110	63710	6.794154e-06	51.678646	1.210441	1.003064	1.090737	1006848110	155129	1010774720	160148	-2.487192e-06	56.042906	0.972442	0.933957	0.989737
