SAMPLE_ALIAS	SET	BAM_START_DATE	BAM_END_DATE	PRO_REF_BASES_GT	PRO_ALT_BASES_GT	CON_REF_BASES_GT	CON_ALT_BASES_GT	ERROR_RATE_GT	ARTQSCORE_GT	PICARD_GIV_GT	GIV_GT_DEFAULT	GIV_GT_QUALITYSCORE20	PRO_REF_BASES_CT	PRO_ALT_BASES_CT	CON_REF_BASES_CT	CON_ALT_BASES_CT	ERROR_RATE_CT	ARTQSCORE_CT	PICARD_GIV_CT	GIV_CT_DEFAULT	GIV_CT_QUALITYSCORE20	PRO_REF_BASES_TA	PRO_ALT_BASES_TA	CON_REF_BASES_TA	CON_ALT_BASES_TA	ERROR_RATE_TA	ARTQSCORE_TA	PICARD_GIV_TA	GIV_TA_DEFAULT	GIV_TA_QUALITYSCORE20	PRO_REF_BASES_GC	PRO_ALT_BASES_GC	CON_REF_BASES_GC	CON_ALT_BASES_GC	ERROR_RATE_GC	ARTQSCORE_GC	PICARD_GIV_GC	GIV_GC_DEFAULT	GIV_GC_QUALITYSCORE20	PRO_REF_BASES_AC	PRO_ALT_BASES_AC	CON_REF_BASES_AC	CON_ALT_BASES_AC	ERROR_RATE_AC	ARTQSCORE_AC	PICARD_GIV_AC	GIV_AC_DEFAULT	GIV_AC_QUALITYSCORE20	PRO_REF_BASES_TC	PRO_ALT_BASES_TC	CON_REF_BASES_TC	CON_ALT_BASES_TC	ERROR_RATE_TC	ARTQSCORE_TC	PICARD_GIV_TC	GIV_TC_DEFAULT	GIV_TC_QUALITYSCORE20
TCGA-AB-2826-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1053786068	754135	1042366784	550696	9.699314e-05	40.132590	1.354328	1.654646	1.928733	1042366784	672009	1053786068	676403	-2.094874e-06	56.788422	1.004385	1.083512	0.956977	1196249708	598705	1212162282	534986	2.644440e-05	45.776662	1.133923	1.178148	1.448350	1053786068	70557	1042366784	67296	1.555605e-06	58.081007	1.037094	0.912634	1.075207	1212162282	138321	1196249708	178857	-1.682879e-05	47.739471	0.763236	0.406418	0.192096	1196249708	207367	1212162282	216096	-3.623743e-06	54.408426	0.972375	0.893588	1.036605
TCGA-AB-2827-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1309398381	943859	1289060604	693778	9.618143e-05	40.169088	1.339087	1.708821	1.762922	1289060604	847521	1309398381	839688	3.012523e-06	55.210696	1.025236	1.025251	1.007050	1399632370	904700	1408584120	684717	7.829117e-05	41.062872	1.329513	1.654501	2.539518	1309398381	83527	1289060604	79176	1.674349e-06	57.761540	1.038565	0.977889	1.009671	1408584120	164055	1399632370	215053	-1.815783e-05	47.409361	0.758039	0.938851	0.831455	1399632370	215495	1408584120	221419	-2.109196e-06	56.758831	0.979473	0.962562	0.989546
TCGA-AB-2828-03B-01W-0728-08	LAML	02Apr2011	12Apr2011	527055522	386480	520367975	293997	8.823838e-05	40.543425	1.297673	1.727446	1.720890	520367975	378971	527055522	388550	-9.138601e-06	50.391203	0.987890	1.033660	0.980413	622369127	395780	621473683	321483	5.969740e-05	42.240446	1.229190	1.222170	1.665329	527055522	35864	520367975	35793	6.778074e-08	71.688937	0.989271	0.959178	1.014940	621473683	66734	622369127	79319	-1.011665e-05	49.949633	0.842566	0.959769	0.894471	622369127	110213	621473683	113855	-2.927495e-06	55.335038	0.966625	0.944705	0.988180
TCGA-AB-2829-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1145505901	854288	1125531168	651810	8.909754e-05	40.501343	1.287571	1.787421	1.830431	1125531168	788716	1145505901	827577	-1.709940e-05	47.670192	0.969977	1.015702	1.004457	1237654750	811992	1245785847	617322	7.834213e-05	41.060046	1.323775	1.644609	2.013782	1145505901	56876	1125531168	57521	-2.839969e-07	65.466864	0.971546	0.977570	1.002548	1245785847	105492	1237654750	170209	-2.605652e-05	45.840836	0.615767	0.922161	0.784700	1237654750	167367	1245785847	178475	-4.472204e-06	53.494784	0.943930	0.987843	0.996345
TCGA-AB-2830-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1173081405	822559	1150437285	606313	9.301113e-05	40.314651	1.330238	1.769009	1.889890	1150437285	726118	1173081405	767280	-1.770399e-05	47.519287	0.965003	1.014478	1.001729	1252328094	765680	1257110288	562822	8.079523e-05	40.926143	1.365402	1.693886	2.191730	1173081405	57416	1150437285	56651	3.292259e-07	64.825061	0.993940	0.985879	1.021297	1257110288	112795	1252328094	179864	-2.672358e-05	45.731054	0.624761	0.909697	0.764936	1252328094	167909	1257110288	178033	-4.033813e-06	53.942843	0.946743	0.973593	0.993194
TCGA-AB-2831-03A-01W-0726-08	LAML	09Mar2010	09Mar2010	1225635053	336572	1196696513	159334	7.315337e-05	41.357656	2.062201	1.609819	1.724229	1196696513	241958	1225635053	242958	-4.127428e-07	63.843205	1.019963	1.013606	1.017701	1471203931	150350	1483030435	103714	1.578480e-05	48.017610	1.461266	1.171290	1.365618	1225635053	57696	1196696513	84068	-1.088639e-05	49.631159	0.670113	0.955021	0.876833	1483030435	70277	1471203931	115035	-1.514951e-05	48.196015	0.606065	0.953499	0.826876	1471203931	222319	1483030435	268280	-1.555509e-05	48.081276	0.835369	0.975828	0.952233
TCGA-AB-2832-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1196695447	861404	1170996785	612884	1.048976e-04	39.792342	1.375040	1.783458	1.892424	1170996785	758036	1196695447	775019	-7.168166e-06	51.445919	0.999552	1.018277	1.005192	1270091762	746720	1279709089	586479	6.281167e-05	42.019596	1.282700	1.553490	2.045190	1196695447	57756	1170996785	59467	-7.226088e-07	61.410967	0.950373	0.947124	0.969753	1279709089	114195	1270091762	181187	-2.627038e-05	45.805336	0.625557	0.914057	0.768471	1270091762	165623	1279709089	175365	-3.820180e-06	54.179162	0.951605	0.971565	0.994504
TCGA-AB-2833-03B-01W-0728-08	LAML	26Jul2010	26Jul2010	1006307290	525405	986698035	480124	2.270850e-05	46.438115	1.072949	0.949668	1.234187	986698035	544066	1006307290	789098	-1.228638e-04	39.105761	0.703344	0.803663	0.754487	1063986599	751028	1066460130	487529	1.236106e-04	39.079441	1.543676	2.603936	2.384587	1006307290	62262	986698035	62889	-3.145805e-07	65.022682	0.970740	0.981047	0.990747	1066460130	115173	1063986599	169531	-2.551143e-05	45.932652	0.677822	0.939711	0.783842	1063986599	181559	1066460130	191237	-4.541914e-06	53.427610	0.951608	0.982665	0.995918
TCGA-AB-2834-03B-01W-0728-08	LAML	06Aug2010	06Aug2010	1004719442	621596	984936048	356977	1.329320e-04	38.763704	1.706554	1.847285	1.711869	984936048	484837	1004719442	376350	5.450193e-05	42.635881	1.313982	1.030611	1.031939	1026204281	500370	1036044559	381605	5.756542e-05	42.398383	1.323640	1.653353	2.942529	1004719442	458902	984936048	508435	-2.488317e-05	46.040943	0.884858	0.919028	0.942372	1036044559	532555	1026204281	545447	-6.248162e-06	52.042477	0.967108	0.903691	1.033674	1026204281	578753	1036044559	596581	-8.640007e-06	50.634859	0.979430	0.954582	1.010438
TCGA-AB-2835-03B-01W-0728-08	LAML	06Aug2010	06Aug2010	912804615	660908	901273790	441931	1.206364e-04	39.185215	1.476264	2.594769	2.045841	901273790	431464	912804615	386717	2.465540e-05	46.080880	1.129922	1.035368	1.030383	960576710	464550	966039400	352387	5.819294e-05	42.351297	1.325634	1.549343	2.241349	912804615	528851	901273790	481693	2.598110e-05	45.853425	1.083983	0.902038	0.885429	966039400	740804	960576710	526284	1.112723e-04	39.536129	1.399347	0.895290	1.109435	960576710	661694	966039400	585853	3.933940e-05	44.051723	1.135784	0.949031	0.966711
TCGA-AB-2836-03B-01W-0728-08	LAML	06Aug2010	06Aug2010	961111252	614913	944615614	413239	1.057682e-04	39.756450	1.462197	1.860351	1.642261	944615614	486421	961111252	389356	5.090993e-05	42.931975	1.270973	1.053106	1.032976	1013138013	439234	1018818306	410771	1.400183e-05	48.538153	1.075254	1.480927	2.050613	961111252	455365	944615614	575970	-6.325133e-05	41.989303	0.777142	0.951290	0.871336	1018818306	580208	1013138013	725619	-7.151611e-05	41.455961	0.795263	0.965869	0.780775	1013138013	581290	1018818306	677783	-4.745833e-05	43.236876	0.862522	0.949921	0.960069
TCGA-AB-2837-03B-01W-0728-08	LAML	06Aug2010	06Aug2010	907467632	688594	892720545	495509	1.071877e-04	39.698549	1.366808	1.865759	1.660399	892720545	571259	907467632	495235	4.220614e-05	43.746244	1.172456	1.042102	1.030666	929635733	571073	934421946	504039	3.594060e-05	44.444146	1.138742	1.527504	2.287318	907467632	620737	892720545	638853	-1.005636e-05	49.975594	0.955883	0.924197	0.889789	934421946	740155	929635733	640413	5.346840e-05	42.719028	1.149708	0.940575	0.957003	929635733	717608	934421946	724247	-3.558832e-06	54.486925	0.995938	0.960209	0.964057
TCGA-AB-2838-03A-01W-0726-08	LAML	17Mar2010	22Mar2010	912188279	232326	885335174	97493	7.499667e-05	41.249580	2.312516	1.569893	1.641950	885335174	177564	912188279	175184	1.323784e-06	58.781828	1.044320	1.032097	1.022550	1084528308	117845	1093892354	83126	1.593622e-05	47.976146	1.429861	1.159634	1.336600	912188279	47703	885335174	59612	-6.624831e-06	51.788252	0.776679	0.914148	0.907438	1093892354	66763	1084528308	100873	-1.565693e-05	48.052934	0.656207	0.953818	0.912948	1084528308	164011	1093892354	217454	-2.452862e-05	46.103270	0.760781	0.958866	0.925231
TCGA-AB-2839-03B-01W-0728-08	LAML	18Oct2010	18Oct2010	1220373221	1483378	1187605104	253011	5.105862e-04	32.919310	5.699763	4.745733	5.390314	1187605104	292665	1220373221	278878	5.724191e-06	52.422859	1.078374	1.042016	1.067316	1551097720	205085	1571016262	123303	2.619168e-05	45.818367	1.684529	1.154768	1.198474	1220373221	112025	1187605104	107097	2.046344e-06	56.890214	1.017926	1.039955	1.060513	1571016262	140187	1551097720	194939	-1.753495e-05	47.560954	0.710041	0.951865	0.886750	1551097720	259342	1571016262	297293	-1.215338e-05	49.153030	0.883567	1.026444	0.969969
TCGA-AB-2840-03B-01W-0728-08	LAML	25Jul2010	25Jul2010	840311097	238212	829641136	121614	6.980612e-05	41.561065	1.933619	1.677288	1.622523	829641136	196880	840311097	201361	-2.682671e-06	55.714327	0.990323	1.036153	0.995442	909785257	252080	915342947	96399	8.528238e-05	40.691407	2.630487	1.346213	2.539998	840311097	54077	829641136	53949	7.664394e-08	71.155222	0.989646	0.958419	0.987424	915342947	67518	909785257	67030	2.673588e-07	65.729056	1.001164	0.999769	0.994805	909785257	168299	915342947	175515	-3.952950e-06	54.030787	0.964751	0.942237	0.992645
TCGA-AB-2841-03B-01W-0728-08	LAML	25Jul2010	25Jul2010	995822483	324441	985825402	153946	8.601622e-05	40.654197	2.085988	1.867230	1.756602	985825402	228850	995822483	223232	2.834368e-06	55.475438	1.035554	1.035353	1.014991	984955000	221357	990897947	107379	5.767587e-05	42.390058	2.073652	1.448010	2.035902	995822483	66341	985825402	65835	2.553260e-07	65.929049	0.997570	0.952131	0.993958	990897947	78188	984955000	75050	1.588052e-06	57.991354	1.035561	0.970720	1.017937	984955000	180538	990897947	189056	-4.310243e-06	53.654982	0.960714	0.959707	0.991044
TCGA-AB-2842-03A-01W-0726-08	LAML	17Mar2010	23Mar2010	1141603736	274890	1113878786	145158	5.750780e-05	42.402732	1.847534	1.429497	1.523292	1113878786	232508	1141603736	226799	2.530650e-06	55.967679	1.050678	1.026721	1.024733	1375369636	155635	1389063168	109869	1.655370e-05	47.811048	1.430605	1.153427	1.336104	1141603736	62671	1113878786	73612	-4.850554e-06	53.142087	0.830702	0.926604	0.898909	1389063168	69978	1375369636	81815	-4.281656e-06	53.683882	0.846896	0.916560	0.879885	1375369636	223761	1389063168	253084	-1.060541e-05	49.744725	0.892957	0.969572	0.957616
TCGA-AB-2843-03B-01W-0728-08	LAML	25Jul2010	25Jul2010	988175590	276485	971954283	127725	7.587728e-05	41.198882	2.128840	1.770781	1.697207	971954283	203428	988175590	200291	1.600075e-06	57.958598	1.032606	1.037574	1.011358	1038591711	232942	1042514604	93105	6.718306e-05	41.727402	2.511039	1.394543	2.312943	988175590	58541	971954283	56884	8.453024e-07	60.729879	1.012235	0.968865	1.015082	1042514604	65255	1038591711	63433	8.754417e-07	60.577727	1.024851	0.965494	1.011323	1038591711	171308	1042514604	175602	-2.062982e-06	56.855046	0.979235	0.946327	0.985557
TCGA-AB-2844-03B-01W-0728-08	LAML	25Jul2010	25Jul2010	954076382	293689	934421532	127777	8.783435e-05	40.563356	2.250714	1.876632	1.796012	934421532	202521	954076382	199951	1.360580e-06	58.662759	1.034150	1.035648	1.012258	999187263	215465	1006265953	89909	6.259776e-05	42.034412	2.413152	1.427370	2.193836	954076382	56384	934421532	57811	-7.555813e-07	61.217188	0.955226	0.944436	0.986150	1006265953	61803	999187263	59777	1.010184e-06	59.955994	1.026618	0.986904	1.012438	999187263	163200	1006265953	168589	-2.686729e-06	55.707762	0.974897	0.947047	0.995436
TCGA-AB-2846-03B-01W-0728-08	LAML	23Sep2010	23Sep2010	1070397336	303937	1041769140	141399	7.693699e-05	41.138648	2.091700	1.790895	1.769953	1041769140	164504	1070397336	191223	-1.264791e-05	48.979811	0.883932	1.030312	0.978075	1089349354	229807	1097446221	60484	7.741946e-05	41.111499	3.827112	1.681700	3.202847	1070397336	87481	1041769140	56692	1.457598e-05	48.363622	1.501781	0.916347	1.071380	1097446221	144985	1089349354	148703	-1.699976e-06	57.695571	0.967808	0.929688	0.936253	1089349354	167426	1097446221	142689	1.131038e-05	49.465227	1.182056	0.915798	1.006953
TCGA-AB-2847-03B-01W-0728-08	LAML	23Sep2010	23Sep2010	1070973476	334789	1044885128	146659	8.889403e-05	40.511274	2.226781	1.905493	1.823475	1044885128	172459	1070973476	187321	-7.022905e-06	51.534832	0.943656	1.055438	0.988101	1103044649	234516	1112029692	62871	7.747910e-05	41.108155	3.759912	1.566525	3.145326	1070973476	87990	1044885128	58019	1.416396e-05	48.488154	1.479590	0.909952	1.077993	1112029692	145867	1103044649	152135	-2.829321e-06	55.483177	0.951059	0.933998	0.971599	1103044649	168946	1112029692	144490	1.103915e-05	49.570643	1.178754	0.908800	1.024714
TCGA-AB-2848-03B-01W-0728-08	LAML	23Sep2010	23Sep2010	1040217021	367380	1017006191	146556	1.073140e-04	39.693436	2.450309	2.121449	2.004593	1017006191	160720	1040217021	168638	-3.848261e-06	54.147354	0.974802	1.050680	0.999004	1109033349	228462	1117998034	61197	7.509694e-05	41.243777	3.762830	1.540898	3.222594	1040217021	80448	1017006191	52186	1.373705e-05	48.621065	1.507126	0.931451	1.072599	1117998034	142593	1109033349	143032	-1.970981e-07	67.053175	0.988938	0.930665	0.934730	1109033349	164767	1117998034	140531	1.088116e-05	49.633249	1.181911	0.927712	1.023215
